name,rating,reviews,address,website,type,lat,lng
Cafe Artigiano Hornby,4,837,"763 Hornby St, Vancouver, BC V6Z 2P4, Canada",http://www.caffeartigiano.com/,"cafe, bakery, food, point_of_interest, store, establishment",49.28315720000001,-123.1214928
Tim Hortons,3.9,2223,"9731 Bridgeport Rd, Richmond, BC V6X 1S3, Canada",http://locations.timhortons.ca/en/bc/richmond/9731-bridgeport-rd,"cafe, restaurant, bakery, store, food, point_of_interest, establishment",49.1922797,-123.1161853
Tim Hortons,3.3,280,"10376 152 St, Surrey, BC V3R 4G8, Canada",https://locations.timhortons.ca/en/bc/surrey/10376-152nd-st/,"cafe, bakery, restaurant, food, point_of_interest, store, establishment",49.19119689999999,-122.8000252
Tim Hortons,3.1,730,"3433 North Rd Unit 101, Burnaby, BC V3J 1A2, Canada",https://locations.timhortons.ca/en/bc/burnaby/3433-north-rd/,"cafe, restaurant, bakery, store, food, point_of_interest, establishment",49.25219369999999,-122.8934097
,,,,,,,
Tim Hortons,3.8,1505,"2635 Barnet Hwy #109, Coquitlam, BC V3E 1K9, Canada",https://locations.timhortons.ca/en/bc/coquitlam/2635-barnet-hwy/,"cafe, bakery, store, restaurant, food, point_of_interest, establishment",49.2781577,-122.8141451
Tim Hortons,3.3,682,"3077 152 St Unit 600, Surrey, BC V4P 3K1, Canada",https://locations.timhortons.ca/en/bc/surrey/3077-152-st/,"cafe, bakery, restaurant, point_of_interest, store, food, establishment",49.05825799999999,-122.802279
Tim Hortons,3.5,343,"7089 Lougheed Hwy., Burnaby, BC V5A 1W1, Canada",https://locations.timhortons.ca/en/bc/burnaby/7089-lougheed-hwy/,"cafe, restaurant, bakery, store, food, point_of_interest, establishment",49.2590297,-122.9568103
Tim Hortons,3.5,1417,"11320 Steveston Hwy Unit 110, Richmond, BC V7A 5J5, Canada",http://locations.timhortons.ca/en/bc/richmond/11320-steveston-hwy,"cafe, restaurant, bakery, store, food, point_of_interest, establishment",49.1330493,-123.098238
Tim Hortons,3.7,1252,"1409 Marine Dr, North Vancouver, BC V7P 2V7, Canada",http://locations.timhortons.ca/en/bc/north-vancouver/1409-marine-dr,"cafe, bakery, restaurant, food, point_of_interest, store, establishment",49.3232489,-123.1137776
Tim Hortons,3.4,985,"1525 Lougheed Hwy., Port Coquitlam, BC V3B 1A5, Canada",http://locations.timhortons.ca/en/bc/port-coquitlam/1525-lougheed-hwy,"cafe, bakery, restaurant, food, point_of_interest, store, establishment",49.25988419999999,-122.7568846
Tim Hortons,3.3,1212,"12110 Nordel Way, Surrey, BC V3W 1P6, Canada",http://locations.timhortons.ca/en/bc/surrey/12110-nordel-way,"cafe, bakery, restaurant, point_of_interest, store, food, establishment",49.16161049999999,-122.887651
,,,,,,,
Tim Hortons,3.5,631,"1767 152 St Unit 1, Surrey, BC V4A 4N3, Canada",https://locations.timhortons.ca/en/bc/surrey/1767-152nd-street/,"cafe, bakery, store, restaurant, food, point_of_interest, establishment",49.0336161,-122.8015521
McDonald's,3.4,5012,"1527 Main St, Vancouver, BC V6A 2W5, Canada",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html?y_source=1_MTQ1MTkyNjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"cafe, restaurant, point_of_interest, food, establishment",49.271917,-123.1007164
Tim Hortons,3.2,1706,"1450 United Blvd, Coquitlam, BC V3K 6Y2, Canada",http://locations.timhortons.ca/en/bc/coquitlam/1450-united-blvd,"cafe, bakery, restaurant, food, point_of_interest, store, establishment",49.2283645,-122.8483446
Tim Hortons,3.6,669,"17888 56 Ave, Cloverdale, BC V3S 1C7, Canada",https://locations.timhortons.ca/en/bc/cloverdale/17888-56-ave/,"cafe, bakery, restaurant, food, point_of_interest, store, establishment",49.1037641,-122.7266541
Tim Hortons,3.2,754,"1359 Cliveden Ave, Delta, BC V3M 6C7, Canada",https://locations.timhortons.ca/en/bc/delta/1359-cliveden-ave/,"bakery, cafe, restaurant, food, point_of_interest, store, establishment",49.1691967,-122.958566
Tim Hortons,3.4,839,"1320 Kingsway Ave, Port Coquitlam, BC V3C 1S2, Canada",http://locations.timhortons.ca/en/bc/port-coquitlam/1320-kingsway-ave,"cafe, bakery, restaurant, food, point_of_interest, store, establishment",49.24693329999999,-122.7499732
Tim Hortons,3,262,"1097 Nicola Ave, Port Coquitlam, BC V3B 8B2, Canada",http://locations.timhortons.ca/en/bc/port-coquitlam/1097-nicola-ave,"bakery, cafe, restaurant, food, point_of_interest, store, establishment",49.25749649999999,-122.7438068
Tim Hortons,3.4,1154,"20270 Logan Ave, Langley, BC V3A 4L6, Canada",http://locations.timhortons.ca/en/bc/langley/20270-logan-ave,"cafe, bakery, food, point_of_interest, store, establishment",49.1088752,-122.6611986
Tim Hortons,3,657,"20159 88 Ave Unit H101, Langley Twp, BC V1M 0B4, Canada",http://locations.timhortons.ca/en/bc/langley/20159-88th-ave,"cafe, bakery, restaurant, food, point_of_interest, store, establishment",49.16421879999999,-122.6644602
,,,,,,,
Tim Hortons,3.6,933,"11811 224 St, Maple Ridge, BC V2X 0P1, Canada",http://locations.timhortons.ca/en/bc/maple-ridge/11811-224th-st,"cafe, bakery, restaurant, food, point_of_interest, store, establishment",49.2171398,-122.6018268
Richmond Olympic Oval,4,420,"6111 River Rd, Richmond, BC V7C 0A2, Canada",https://richmondoval.ca/,"tourist_attraction, cafe, gym, museum, food, point_of_interest, health, establishment",49.17471409999999,-123.1516981
,,,,,,,
Deer Garden Signatures,4,954,"8580 Alexandra Rd Unit 2015, Richmond, BC V6X 1C3, Canada",http://deergarden.ca/,"cafe, restaurant, food, point_of_interest, establishment",49.177903,-123.127564
"Just Imagine Fun Clothing, Costumes & Dance Gear",4.5,29,"1496 Cartwright St, Vancouver, BC V6H 3Y5, Canada",https://www.justimaginecostumes.com/,"cafe, shoe_store, clothing_store, food, point_of_interest, home_goods_store, store, establishment",49.27026619999999,-123.1359234
Tim Hortons,3.9,1085,"8080 120 St Unit 101, Surrey, BC V3W 3N3, Canada",https://locations.timhortons.ca/en/bc/surrey/8080-120th-st/,"cafe, bakery, restaurant, food, point_of_interest, store, establishment",49.1501853,-122.8899299
Tim Hortons,3.3,481,"1078 Sunshine Coast Hwy, Gibsons, BC V0N 1V0, Canada",http://locations.timhortons.ca/en/bc/gibsons/1078-sunshine-coast-highway,"bakery, cafe, restaurant, food, point_of_interest, store, establishment",49.40703599999999,-123.5295922
Starbucks,4,248,"20015 Langley Bypass, Langley, BC V3A 5V4, Canada",https://www.starbucks.ca/,"cafe, point_of_interest, store, food, establishment",49.1147779,-122.666593
McDonald's,3.5,2163,"891 Granville St, Vancouver, BC V6Z 1K7, Canada",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html?y_source=1_MTQ1MjAwNTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"cafe, restaurant, food, point_of_interest, establishment",49.2805624,-123.1214173
,,,,,,,
Starbucks,4,929,"1795 Davie St, Vancouver, BC V6G 2M9, Canada",https://www.starbucks.ca/,"cafe, point_of_interest, store, food, establishment",49.2872558,-123.141497
Tim Hortons,3.2,779,"865 W Broadway, Vancouver, BC V5Z 1J9, Canada",https://locations.timhortons.ca/en/bc/vancouver/865-west-broadway/,"cafe, restaurant, bakery, store, food, point_of_interest, establishment",49.2635548,-123.1233889
No.9 Restaurant,3.7,3587,"5300 Number 3 Rd #812, Richmond, BC V6X 2X9, Canada",http://richmond9.com/,"cafe, restaurant, food, point_of_interest, establishment",49.1753301,-123.1343318
Petit Ami,3.6,158,"1689 Johnston St, Vancouver, BC V6H 3S2, Canada",http://www.petitami.ca/,"cafe, store, food, point_of_interest, establishment",49.2727014,-123.1352146
Starlight Casino,3.8,2976,"350 Gifford St, New Westminster, BC V3M 7A3, Canada",http://www.starlightcasino.ca/,"casino, bar, point_of_interest, establishment",49.1861582,-122.9563348
Boston Pizza,3.7,1043,"12060 Nordel Way, Surrey, BC V3W 1P6, Canada",https://bostonpizza.com/en/locations/nordel-crossing.html,"bar, restaurant, food, point_of_interest, establishment",49.1616325,-122.8882848
Boston Pizza,3.6,1109,"19700 Langley Bypass, Langley, BC V3A 7B1, Canada",https://bostonpizza.com/langley,"bar, restaurant, food, point_of_interest, establishment",49.1105222,-122.6768034
Boston Pizza,3.7,1265,"20090 91A Ave, Langley Twp, BC V1M 3Y9, Canada",https://bostonpizza.com/en/locations/walnut-grove.html,"bar, restaurant, food, point_of_interest, establishment",49.1675169,-122.6674357
Boston Pizza,3.6,762,"5801 Marine Way, Burnaby, BC V5J 0A6, Canada",https://bostonpizza.com/big-bend,"bar, restaurant, food, point_of_interest, establishment",49.19793259999999,-122.9749254
Boston Pizza,3.7,908,"19800 Lougheed Hwy. Unit 510, Pitt Meadows, BC V3Y 2W1, Canada",https://bostonpizza.com/pitt-meadows,"bar, restaurant, food, point_of_interest, establishment",49.2242626,-122.6735092
No5 Orange,3.9,204,"205 Main St, Vancouver, BC V6A 2S7, Canada",http://www.no5orange.ca/,"bar, night_club, point_of_interest, establishment",49.28305140000001,-123.099956
