name,rating,reviews,address,website,type,lat,lng
Enhanced Care Medical Clinic - Etobicoke,3.7,180,"3857 Lake Shore Blvd W, Toronto, ON M8W 0A3, Canada",http://www.enhancedcare.ca/,"physiotherapist, hospital, doctor, pharmacy, store, point_of_interest, health, establishment",43.5902116,-79.54488309999999
College HealthChoice Centre (Family practice & Walk-In clinic),2.9,127,"815 College St Main Floor, Toronto, ON M6G 1C9, Canada",,"point_of_interest, doctor, health, establishment",43.65415289999999,-79.4219541
Victoria Health Centre,3.1,57,"521 Victoria Park Ave, Scarborough, ON M4C 5H1, Canada",,"doctor, health, point_of_interest, establishment",43.69007139999999,-79.2876731
Lawrence-Warden Medical Ctr,3.3,23,"2050 Lawrence Ave E Unit A, Scarborough, ON M1R 2Z5, Canada",,"doctor, hospital, point_of_interest, health, establishment",43.746145,-79.2944613
The Health Centre Of Maple,2.4,231,"2810 Major MacKenzie Dr. #1, Maple, ON L6A 1R8, Canada",http://thehealthcentreofmaple.ca/,"doctor, health, point_of_interest, establishment",43.8518234,-79.5356789
The Mississauga Cosmetic Surgery & Laser Clinic: Dr. Michael J. Weinberg,3.8,110,"247 Queensway W, Mississauga, ON L5B 1B9, Canada",https://www.mississaugacosmeticsurgeryclinic.com/?utm_source=google&utm_medium=local&utm_campaign=mississauga-practice-website,"doctor, point_of_interest, health, establishment",43.569166,-79.613821
One Care Medical and Children's Clinic,2.5,286,"1755 Brimley Rd, Scarborough, ON M1P 0A3, Canada",https://www.onecaremedicalclinic.com/,"hospital, point_of_interest, doctor, health, establishment",43.7786998,-79.2630532
South Common Medical Centre,2.8,211,"2110 Burnhamthorpe Rd W #3, Mississauga, ON L5L 5Z5, Canada",,"doctor, health, point_of_interest, establishment",43.5421053,-79.6818892
Primacy - Ajax Family Care Centre,2.4,52,"30 Kingston Rd W, Ajax, ON L1T 4K8, Canada",https://www.primacy.ca/locations/dr-ling/,"doctor, hospital, health, point_of_interest, establishment",43.8609752,-79.0309004
Mississauga Wellness,3.6,170,"5030 Tenth Line W #5, Mississauga, ON L5M 7Z5, Canada",http://www.mississaugawellness.com/,"physiotherapist, doctor, health, point_of_interest, establishment",43.543567,-79.724929
